AccNumber,Title,ClassNo ,AuthorEditort,AuthorEditor,Discription,ISBNNumber,Keywords1,Keywords2,Publisher,YearofPublication,PlaceofPublisher ,Status
4459,WETLANDS AND SHALLOW CONTINENTAL WATER BODIES - VOL.2,574.526,,"Patten, Bernard C.","xi,732p:ills.:24cm",,,,SPB Academic ,1994,Netherlands,Available
4460,PLANT INVASIONS:GENERAL ASPECTS AND SPECIAL PROBLEMS,581.5,,"Pysek, Petr; Prach, Karel; Rejmßnek, Marcel; Wade, Max","xi,263p:ills.:24cm",,,,SPB Academic ,1995,Netherlands,Available
4461,BIOINDICATORS OF ENVIRONMENTAL HEALTH,620.85,,"Munawar, M.; HSnninen, O.(etal)","xiii,265p:ills.:24cm",,,,SPB Academic Publishing,1995,The Netherlands,Available
4462,INTRODUCTION TO THE EXPLORATION OF MULTIVARIATE BIOLOGICAL DATA,570.151,"Podani, Janos",,401p:ills.:24cm,,Biometry --Methodology,Biomathematics; Multivariate analysis,Backhuys Publishers,2000,Leiden,Available
4463,"FLOODPLAIN ECOLOGY  AND MANAGEMENT:THE LUZNICE RIVER IN THE TREBON BIOSPHERE RESERVE,CENTRAL EUROPE",589,,"Prach, K.; Jenik, J.; Large, A.R.G.","xii,285p:ills.:24cm",,,,SPB Academic Publishing,1996,The Netherlands,Available
4464,"BIODIVERSITY IN WETLANDS:ASSESSMENT,FUNCTION  AND CONSERVATION (VOL.1)",333.9528,,"Gopal, B.; Junk, W.J.; Davis, J.A.","viii,353p:ills.:24cm",,,,Backhuys Publishers,2000,Leiden,Available
4465,INSECTS ON PALMS,634.9,"Howard, F.W.; Moore, D.; Davis, R.M.Giblin; Abad, R.G.",,"xiv,400p:ills.:25cm",,AGRICULTURE AND RELATED TECHNOLOGIES ORCHARDS FRULTS FORESTRY,DEFOLIATORS OF PALMS; INSECTS OF PALM FLOWERS FRUITS; BORERS OF PLAMS; POPULATION REGULATION OF PALM,CABI Publishing,2001,New York,Available
4466,MULTIVARIATE STATISTICS FOR WILDLIFE AND ECOLOGY RESEARCH,577.07,"McGarigal, Kevin; Cushman, Sam; Stafford, Susan",,"xiii,277p:ills.:24cm",,ECOLOGY,MULTIVARIATE; STATISTICS; ECOLOGY RESEARCH; WILDLIFE,Springer,2000,New York,Available
4467,PLANT BIOTECHNOLOGY:NEW  PRODUCTS AND APPLICATIONS,660.621,,"Hammond, J.; McGarvey, P.; Yusibov, V.","viii,189p:ills.:24cm",,PLANTS SPECIFIC TOPICS IN NATURAL HISTORY,PLANT;  BIOTECHNOLOGY; NEW  PRODUCTS,Springer,2000,Berlin,Available
4468,THE PHYSICS HAND BOOK:FUNDAMENTALS AND KEY EQUATIONS ,530.020221,"Poole,JR., CharlesP.",,"xxi,492p:ills.:23cm",,"Physics--Handbooks, manuals, etc.","Mathematical physics--Handbooks, manuals, etc.",JohnWiley ,1998,NewYork,Available
4469,HOW THINGS WORK:THE PHYSICS OF EVERYDAY LIFE,530,,"Bloomfield, Louis","xxiv,512p:ills.25cm",,,,JoneWiley ,2001,NewYork,Available
4470,STRUCTURAL GEOLOGY  AND PERSONAL COMPUTERS ,551.8,,"De Paor, Declan G.","xvi,527p:ills.25cm",,GEOLOGY,,ELSEVIER ,1996,USA,Available
4471,"COMPOSITION,DEEP STRUCTURE AND EVOLUTUON OF CONTINENTS",551.1,,"HILST, R.D.VAN; McDONOUGH, W.F.","xi,342p:ills.26cm",0 444 50309 9,,,ELSEVIER ,1999,THE NETHERLANDSA,Available
4472,SCHAUM'S OUTLINE OF THEORY AND PROBLEMS OF PARTIAL DIFFERENTIAL EQUATIONS,515.3,"DuCHATEAU, PAUL; ZACHMANN, DAVID",,241 p. : ill. ; 28 cm.,70178976,"Differential equations, Partial.",,McGrowHill ,1986,NewYork,Available
4473,SCHAUM'S OUTLINE ADVANCED MATHEMATICS FOR ENGINEERS AND SCIENTISTS,515.02,"SPIEGEL, MURRAY R.",Schaum's outline series,407 p. : ill. ; 28 cm.,70843554,Engineering mathematics,,McGrowHill ,1999,NewYork,Available
4474,FINANCIAL REGULATIONS OF THE GOVERNMENT OF THE DEMOCRATIC SOCIALISTREPUBLIC OF SRI LANKA,332.4,Govt.printing,,524p:ills.24.5cm,,FINANCIAL ECONOMICS,FINANCIAL REGULATIONS ; DEMOCRATIC SOCIALISTREPUBLIC ;  SRI LANKA; REPUBLIC; FINANCIAL MANAGEMENT; P,Govt.Press,1992,Colombo,Available
4475,RAMAN SPECTROSCOPY FOR CHEMICAL ANALYSIS,543.08584,"McCreery, Richard L.",,420p:ills.23.5cm,,Analytical Chemistry,"The Analytical Chemistry of Industrial Poisos, Hazards, and Solvents",JohnWiley,2000,NewYork,Available
4476,3-D STRUCTURAL GEOLOGY:A PRACTICAL GUIDE TO SURFACE AND SUBSURFACE MAP INTERPRETATION.,551.80223,"GROSHONG, RICHARD H.",,"xv,324p:ills.24cm",,"GEOLOGY,HYDROLOGY,METEOROLOGY","GEOLOGY,STRUCTURAL-MAPS-DATA PROCESSING; GEOLOGICAL MAPPING; STRUCTURE CONTOURING; FAULTS AND UNCONF",SPRINGER,1999,BERLIN,Available
4477,ORIGIN OF IGNEOUS ROCKS: THE ISOTOPIC EVIDENCE.,552.121,"FAURE, GUNTER",,"xv,496p:ills.27.5cm",3540677720,"Rocks, Igneous",,SPRINGER,2001,BERLIN,Available
4478,POTASSIC IGNEOUS ROCKS AND ASSOCIATED GOLD-COPPER MINERALIZATION.,552.121,"MULLER, DANIEL; GROVES, DAVID I.",,"xiii,252p:ills.24cm",3-540-66371-1,PETROLOGY,"ROCKS,IGNEOUS; GOLD ORES; COPPER ORES; DEFINITIONS AND NOMENCLATURE; IMPLICATIONS FOR MINERAL EXPLOR",SPRINGER,2000,BERLIN,Available
4479,DAKSHA DARUWEK HADA WADA GATA HEKI MAGA,649,"Atukorala, DayaRohana",,"viii,243p:ills.21cm",,,,ShikshaMandira,1998,Nugegoda,Available
4480,HOMEWORK AND TEST QUESTIONS FOR INTRODUCTORY PHYSICS TEACHING,530.0762,"Arons, Arnold B.",,"vii,279p:ills.25.5cm",471309311,Physics--Study and teaching,"Physics--Study and teaching--Examinations, questions, etc.; Physics--Study and teaching--Problems, e",JohnWiley,1994,NewYork,Available
4481,IMPEDANCE SPECTROSCOPY:EMPHASIZING SOLID MATERIALS AND SYSTEMS,543.0858,,"Macdonald, J.Ross","xvi,346p:ills.24cm",471831220,Impedance spectroscopy,Solids-Analysis,JohnWiley,1987,NewYork,Available
4482,PLANT ALKALOIDS:A GUIDE TO THEIR DISCOVERY AND DISTRIBUTION,581.19,"Raffauf, RobertF.",,"xiii,279p:22.5cm",,PLANTS NATURAL HISTORY,PLANT; ALKALOIDS,HaworthPress,1996,NewYork,Available
4483,CHEMICAL INVESTIGATION AND BIOLOGICAL ACTIVITY OF GTIRICIDIA SEPIUM  ,808.02,"De Silva, K.W.D.",,"107pChart,Tables;28.5cm",,Chemistry,,,2001,,Available
4484,Synthesis of Potent Bio-Active Acridone Alkaloids,808.02,"Diyabalanage, H.V.K.",,123P: Tables.;30cm.,,Synthetic Organic Chemistry,,,2001,,Available
4485,NEURAL NETWORK DESIGN ,006.3 20,"Hagan, M.T.; Demuth, H.B.; Beale, M.",,"xp:ills,23.5cm",9812404856,Neural networks (Computer science),,ThomsonLearning,1996,Australiya,Available
4486,BERGEY'S MANUAL OF DETERMINATIVE BACTERIOLOGY,589.90012,,"Holt, John,G; Krieg, Noel; Sneath, Peter,H.A.  etal...","xviii,787p:ills,28cm",,,,LippingcottWilliams and Wilkins ,1994,NewYork,Available
4487,APTI COURSE 435 ATMOSPHERIC SAMPLING:STUDENT LABORATORY AND EXERCISE MANUAL ,363.7392,,,28cm,,SPECIFIC SOCIAL PROBLEMS AND SERVICES,POLLUTION ; ENVIRONMENTS,Environmental Protection Agency ,1983,USA,Available
4488,QUALITY ASSURANCE HANDBOOK FOR AIR POLLUTION  MEASUREMENT SYSTEMS,363.7392,,,28cm,,SPECIFIC SOCIAL PROBLEMS AND SERVICES, AIR SPECIFIC METHODS ; AIR POLLUTION,EPA,1986,USA,Available
4489,QUALITY ASSURANCE HANDBOOK FOR  AIR POLLUTION MEASUREMENT SYSTEMS,363.7392,,,28cm,,SPECIFIC SOCIAL PROBLEMS AND SERVICES,AIR POLLUTION,EPA,1986,USA,Available
4490,FASTCHEM TM PACKAGE:VOLUME 4:USER'S GUIDE TO THE ECHEM EQUILIBRIUM GEOCHEMISTRY CODE,363.7392,,,,,,SOLID WASTES; GEOHYDROCHEMICAL MODELS; GEOCHEMISTRY; GROUDWATER; LEACHATES; FASTCHEM  TM CODE,Electric Power Research Institute,1988,Washington,Available
4491,QUALITY ASSURANCE HANDBOOK FOR  AIR POLLUTION MEASUREMENT SYSTEMS:VOLUME i.PRINCIPAL,363.7392,,,28cm,,SPECIFIC SOCIAL PROBLEMS AND SERVICES,AIR POLLUTION,EPA,1984,USA,Available
4492,ENVIRONMENTAL ENGINEERING:A DESIGN APPROACH(with Diskette),628.2,"Sincero, A.P.; Sincero, G.A.",,"xx,795p.:ill. ;24 cm",81-203-1474-3,Environmental engineering.,,PrenticeHall,1996,NewDelhi,Available
4493,WATER  AND WASTEWATER TECHNOLOGY ,627.56,,"Hammer, MarkJ.; HammerJr., MarkJ.","vi,519p:ills,23.5cm",,,,PrenticeHall,1996,NewDelhi,Available
4494,MEDICINAL NATURAL PRODUCTS:A BIOSYNTHETIC APPROACH,615.321 21 ,"DEWICK, P.M.",,"ix, 466p. : ill. ; 25cm. ",471974781,Natural products,Biosynthesis; Pharmacognosy,JOHN WILEY,1997,NEW YORK,Available
4495,A CHEMIST'S GUIDE TO DENSITY FUNCTIONAL THEORY,541.2821,"KOCH, W.; HOLTHAUSEN, M.C.",,"xiii,300p:ills,24cm",,CHEMISTRY,,JOHN WILEY,2001,NEW YORK,Available
4496,Q-CHEM 2.O.4 FOR REDHAT LINEX 6.2 (CD),540.295,,,,,COMPUTIONAL CHEMISTRY,COMPUTER; CHEMISTRY,A QUANTUM INC.,2001,USA,Available
4497,STEROID DRUG DANGERS:DRUG DANGERS,362.29,"Monroe, Judy",,"64p:ills,23.5cm",,ADDICTIONS,DRUG USE; DRUG ABUSE; ANABOLIC STERRODS; HEALTH ASPECTS,"ENSLOWPUBLISHERS,Inc.",1999,USA,Available
4498,MICROSOFT WINDOWS 2000 SERVER IN 24 HOURS ,1.642,"Sosinsky, Barrie; Moskowitz, Jeremy",,"xv,537p:ills,23.5cm",,COMPUTER SCIENCE,WINDOWS 2000; NETWORKING,Techmedia,2000,NewDelhi,Available
4499,UNIX COMPLETE,1.642,"Dyson, Peter; Bootle, StanKelly; Heilborn, John",,"xxi,1006p:ills,21.5cm",,COMPUTER SCIENCE,UNIX; E-MAIL,BPBPublication,1999,NewDelhi,Available
4500,IDENTIFICATION AND ECOLOGY OF LIMNETIC PLANKTON CILIATES,574.52,"Foissner, K; Berger, H; Schaumburg, J",,"793p:ills,29.5cm",,ECOLOGY,LIMNETIC; PLANKTON,Wasserwirtschft,1999,Germerny,Available
4501,ADSORPTION DESIGN FOR WASTEWATER TREATMENT,628.3,"Cooney, David O.",,"190p:ills,24cm",,ENGINEERING,SANLTARY AND MUNICIPAL ENGINEERING,LewisPublishers,1999,NewYork,Available
4502,MOLECULAR SPECTRA AND MOLECULAR STRUCTURE:VOLUME i:SPECTRA OF DIATOMIC MOLECULES,535.84,"HERZBERG, G.F.R.S.",,"xv,660p:ills,23.5cm",,PHYSICS,SPECTRA OF DIATOMIC MOLECULES; MOLECULAR SPECTROSCOPY; MOLECULAR STRUCTURE,KRIEGER PUBLISHING COMPANY,1989,FLORIDA,Available
4503,MOLECULAR SPECTRA AND MOLECULAR STRUCTURE,535.84,"HERZBERG, G.F.R.S.",,"xiii,636p:ills,23.5cm",894642693,MOLECULAR STRUCTURE,MOLECULAR SPECTROSCOPY,KRIEGER PUBLISHING COMPANY,1989,FLORIDA,Available
4504,MOLECULAR SPECTRA AND MOLECULAR STRUCTUREELECTRONIC  SPECTRA AND ELECTRONIC  STRUCTURE OF POLYATOMIC MOLECULES,535.84,"HERZBERG, G.F.R.S.",,"xviii,757p:ills,23.5cm",8944642707,Molecular spectroscopy, Molecular structure,KRIEGER PUBLISHING COMPANY,1989,FLORIDA,Available
4505,PHOTOSYNTHESIS:PHYSIOLOGY AND METABOLISM :ADVANCES IN PHOTOSYNTHESIS (VOLUME 9),572.4621,,"Leegood, Richard C.; Sharkey, Thomas D.; Caemmerer, Susanne","xi,624p:ills,27cm",9.78E+12, Photosynthesis. ,,Kluwer Academic Publishers,2000,London,Available
4506,CHROMATOGRAPHY TODAY,543.0892,"Poole, Colin F.; Poole, Salwa K.",,"ix,1026p:ills,24.5cm",444884920,Chromatographic analysis.,,Elsevier,1991,NewYork,Available
4507,DATA ANALYSIS IN COMMUNITY AND LANDSCAPE ECOLOGY,574.5028,,"Jongman, R.H.G.; Braak, Ter C.J.F.  et..al..","xxi,299p:ills,23cm",,Biotics communities ,Landscape ecology ,Cambridge University Press,1995,USA,Available
4508,NITROGEN FIXATION IN TROPICAL CROPPING SYSTEMS,633.3,,"Giller, Ken E.","xvii,423p:ills,24cm",,Legumes ,Nitrogen-fixing plants ,CABI Publishing,2001,Netherlands,Available
4509,SOIL PROCESSES AND THE CARBON CYCLE:ADVANCES IN SOIL SCIENCE,631.4,,"Lal, Rattan; Kimble, J.M.  etal..","609 p. : ill., maps ; 26 cm.",849374413,"TECHNIQUES,EQULPMENT,METERIALS", SOIL SCIENCE; CARBON CYCLE,CRC Press,1997pNewYork,,Available
4510,HANDBOOK OF MEDIA FOR  ENVIRONMENTAL MICROBIOLOGY,576.2,"Atlas, Ronald",,"iii,540p:26cm",,Microbiology,Sanitary microbiology ,CRC Press,1995,NewYork,Available
4511,DENSITY-FUNCTIONAL METHODS IN CHEMISTRY AND MATERIALS SCIENCE,541.2,,"Springborg, M.","xvi,358p:ills.25cm",,PHYSICAL AND THEORETICAL CHEMISTRY ,DENSITY-FUNCTIONAL; QUANTUM CHEMISTRY; ELECTRONIC STRUCTURE,John Wiley and Sons,1997,NewYork,Available
4512,COMPUTATIONAL CHEMISTRY USING THE PC (with disk),541.2202855,"Rogers, D.W.",,"xiv,247p:ills.24cm",,PHYSICAL AND THEORETICAL CHEMISTRY ,CHEMISTRY-DATA PROCESSING; CHEMISTRY-MATHEMATICS,VCH,1994,NewYork,Available
4513,A HANDBOOK OF COMPUTATIONAL CHEMISTRY : A PRACTICAL GUIDE TO CHEMICAL STRUCTURE AND ENERGY CALCULATIONS ,541.2219,"Clark, T.",,"x, 332 p. : ill. ; 24 cm.",471882119,PHYSICAL AND THEORETICAL CHEMISTRY ,MOLECULAR STRUCTURE; COMPUTER PROGRAMS,John Wiley and Sons,1985,NewYork,Available
4514,PREPARATIVE GEL CHROMATOGRAPHY ON SEPHADEX LH-20 : CHROMATOGRAPHIC METHODS,543.0892,"Henke, H.",,"xx,617p:ills.24.5cm",3778524283,Gel permeation chromatography.,,Heidelberg,1995,Germany,Available
4515,CHEMICAL PRINCIPLES:THE QUEST FOR INSIGHT,540.22,"Atkins, P. ; Jones, L.",,"F115,905p:ills.26cm",716735962,CHEMISTRY ,,W.H.Freeman and Company,1999,NewYork,Available
4516,NATURAL PRODUCTS : THEIR CHEMISTRY AND BIOLOGICAL SIGNIFICANCE,547.7,"Mann, J.; Davidson, R.S.; Hobbs, J.B.  etal...",,"xi,455p:ills.23.5cm",470200022,NATURAL PRODUCTS,,Addison Wesley Longman Limited,1994,England,Available
4517,CHEMICAL APPLICATIONS OF MOLECULAR MODELLING,541.22,"Goodman, J.",,215p:ills.23.5cm,854045791,,,Royal Society of Chemistry,1998,Cambridge,Available
4518,BUILDING PASCAL PROGRAMS : AN INTRODUCTION TO COMPUTER SCIENCE  ,5.13,"REGES, STUART",,"xx,667p:ills.23cm",,COMPUTER SCIENCE,COMPUTER PROGRAMMING; PROGRAMS; DATA; PASCAL,Little Brown and Company,1987,Boston,Available
4519,ECOSAT :A COMPUTER PROGRAM FOR THE CALCULATION OF SPECIATION AND TRANSPORT IN SOIL WATER SYSTEMS1998 VERSION 4.4,005.13 Ref,"KEIZER, M.G.; RIEMSDIJK, W.H.YAN",,67p:ills.29 cm,,COMPUTER PROGRAMMING ,DATA; PROGRAMS,Wageningen Agricultural Unversity,1998,The Netherlands,Available
4520,MEDICAL EVIDENCE AND THE ROLE OF THE JUDICIAL MEDICAL OFFICER,614.1,"CHANDRASIRI, NIRIELLAGE",,345p:ills.21cm,,DISEASES,HEALTHY PERSON; NATURE OF WEAPON,Faculty of Medicine,1988,Kelaniya,Available
4521,WEE WAGAWA SADAHA GOWINGE ATPOTHA (SINHALA),C 633.18,"WARGARA, BENITO S.",,221p:ills.22cm,,FIELD AND PLANTATION CROPS,,Plan International,1988,Sri Lanka,Available
4522,"THE LAW IN DAILY LIFE : A GUIDE TO SOME OF YOUR RIGHTS, REMEDIES AND PROCEDURES", C 341.48,,,23p:ills.21.5cm,,LAW, JURISDICTION OVER PERSONS; REGISTRATION OF BIRTHS AND DEATHS,The Sri Lanka Foundation,,SriLanka,Available
4523,SIHAGIRI PAWATHA (SINHALA),C 954.93,"BANDARANAYAKE, SENAKA","ILANGASINGHA, MANGALA (TRANS.)",33p:ills.22cm,,GENERAL HISTORY,,Cultural Trtangal,1989,SriLanka,Available
4524,SRI LANKA FLAGS : UNIQUE MEMORIALS OF HERALDRY,C 929.92,,"FERNANDO, EDITH M.G.",57p:ills.24cm,,"GENEALOGY,NAMES,INSIGNIA",NATIONAL FLAG; BUDDHIST FLAG,,1980,,Available
4525,WAR AND  PEACE IN SRI LANKA,C 355.02,"Gunarathna, Rohan",,82p:ills.22cm,,WAR AND WARFARE,,Institute of Fundamental Studies,1987,Kandy,Available
4526,Biosynthesis Polyketides and Vitamins,574.4521,,"Leepre, Venders; Venders, J.C.",p193;23 1/2cm.,,Life Science Biology,Desktop Editions In Chemistry,Springer,1990,Tokyo,Available
4527,Vegitation Description and Analysis: A Practical Approach,581.1,"Kent, Martin ;  Coker, Paddy",,p363;23cm.,,Specific topics in natural history,A Practical Approach,John Wiley and Dond,2001,New York,Available
4528,NBO 4.0 Programme Mannual: Natural Bond Orbital Analysis Programme (WITH DISK),5.13,"Weinhold, F.",,,,"Computer Programming, Programme Data",,,,,Available
4529,SAMS Teach Yourself Borland (++ Builder 4),5.3,,,,,"Computer Programming , Programme Data",,,,,Available
4530,Biochemistry and Molecular Biology of Plants,572.82,,"Buchanan    ; Cruissem, Bod B.           ; Jones, W.             ; Russelil ",xxxixp1367;28cm.,,Botanical chemistry.,Plant molecular biology.,"Courier Copanies, Inc.",2001,USA,Available
4531,GEOGRAPHIC INFORMATION SYSTEMS FOR GEOSCIENTISTS: MODELLING WITH GIS ,910.285,"BONHAM-CARTER, GRATER",,,,Geography,Information Systems; GIS,PERGAMON,2002,THE NETHERLANDS,Available
4532,Chemical Investigation and Biological Activity Studies of Endemic Gordonia Species,808.02,"Authukaralage, P.S.",,255P:Tables.;30cm.,,Chemestry,,,1999,,Available
4533,Chemistry and Antimicrobial Activity of some SriLankan Calophyllum Species,,"Wijesinghe, W.M.N.M.",,p134;30cm.,,Chemistry,Chemistry and Antimicrobial Activity ,University of Colombo,1999,Colombo,Available
4534,Purification and Charactrization of Acid Proteinases From Nepenthes Distillatoria L.,808.02,"Rajapakse, R.G.S.C.",,"116pChart,Tables;28.5cm+Photos",,Biochemistry,,,2002,,Available
4535,Advances in Quantum Chemistry(vol.33),541.383082,,Lowdin,,,Physical and Theoretical Chemistry,,,,,Available
4536,Enviremental Microbiology,576.139,"Maier; sRiana, M.Pepper; Lan, L.Gerba; Charles, P.",,,,Genetics and Evolution,,,,,Available
4537,The Unified Neutral of Biodiversity and biogeography,578.09,"Hubbell, Stephen P.",,xivp375;21 1/2 cm.,,Naural History of organisms,Monographs in Population Biology,Princeton University Press,2001,,Available
4538,In the company of Mushrooms: A Biologist's Tale ,579.6,"Schaechter, Elio",,xvip280;20 cm.,,"Microogainisms,fungl,algae",A Biologist's Tale,Harvad University Press,1998,England,Available
4539,Mineral Surfaces,549.131,,"Vaughan, D.J.; Pattrick, R.A.D.","xii,370p:ills;23.5cm",0-412-56340-1,Mineralogy,,Chapman and hall,1995,London,Available
4540,"Molecular, Modeling Theory: applications in the Geosciences",549.1321,,"Cygan, R.T.; Kubicki, J.C.",,,Physical and Theoretical Chemistry ,,,,,Available
4541,Stable Isotopes in High Tempreture Geological Processes (reviews in Mineralogy Vol. 16),551.525,,"Valley, J. W.; Taylor, H. P.; O'Neil, J. R.",,,"Geology, Hydrology, Meteorology",,,,,Available
4542,"Thermobynamic Modeling of Geological Materials: Minerals,",551.522,,"Carmichael , I. S. E.; Eugster, H. P.",,,"Geology, Hydrology, Meteorology",,,,,Available
4543,Fluid Inclusions (Vol 12),532.4," Roedder, Edwin",,vip646;23cm.,,Fluid mechanics liquid mechanics,Reviews in Mineralogy,Mineralogical Society of America,200,USA,Available
4544,Modern Methods of Igneous Petrology: Understanding Magmatic Processes (Revies in Minerology Vol 24),552.1,,"Nicholls, J.; Russell, J. M.",,,Petrology,,,,,Available
4545,Characterization of Metamorphism through Mineral Equilibria (Revies in Mineralogy Vol 24),549.1,,"Ferry , J.M.",,,Mineralogy,,,,,Available
4546,The Al 2 sio S Polymorphs (Revies in Mineralogy vol-27),546.673,"Kerrick, D.M",,,,,,The Mineralogical Society of America,1990,Washington,Available
4547,Geochemistry and Mineralogy of Rare Earth Elements,551.9,,"Lipin, B. R.; Mackay, G.A.",,,551.9,,,,,Available
4548,Glossary of Technical Terms Botany,403,,,iivp224;8.25cm.,,Botany,Glossaries,,2000,Colombo,Available
4549,Glossary of Technical Terms MATHEMATICS,403,,,"v,212p;21.5cm.",,Mathematics,Glossaries,,1995,Colombo,Available
4550,Glossary of Technical Terms Zoology,403,,,viip292;21.1/2,,Zoology,Glossaries,Publicaton of Education Department,1998,Colombo,Available
4551,Glossary of Technical terms Chemistry,403,,,xip223;21.25,,Chemistry,Glossaries,Publication of Educational Department,2000,Colombo,Available
4552,Glossary of Technical Term of Physics,403,,,xip223;21.25,,Physics,Glossary,,1995,Colombo,Available
4553,Glossary of Technical Terms Civil and Mechanical Engineering,403,,,p324;21cm.,,Glossaries,Glossary of Technical Terms,Education Department,1989,Colombo,Available
4554,Glossary of Computer Science ,403,,,vp54;21.2cm.,,Computer Science,Glossaries,Computer and information Technology Council of Sri Lanka,2000,Colombo,Available
4555,Atrial Hormones and Other Natriuretic Factors,612.392619,,"Mulrow, P. J.; Schrier, R.",,,Human Physiology,,,,,Available
4556,Interaction of Platelets with the Vessel Wall,599.1119,"Oales, J. A.; Hawiger, J.; Ross, R.",,,,Human Physiology,,,,,Available
4557,Key Papers in Physics: NMR in Biomedicine the Physical Basis,546,"Fukashima, E.",,,,Dieseases,,,,,Available
4558,Chemistry and Bioactivity of some Sri Lankan Buxaceaf and Pubiaceae.,808.02,"Kumarihamy, M.",,,,,,,2000,,Available
4559,"Deformation - Enhanced Fluid Transport in the Earth's Cruit and Mantle,",551.1,"Holness, M. B.",,,,"Geology, Hydrology, Metrology",,,,,Available
4560,Manowidyathmaka Buddhi Wardhana Wyayamaya (Sinhala),153,"Anurasiri, D.I",,56P;22cm,955-97757-0-7,Mental Processes and interlligence,Psychology,D.I.Anurasiri,2002,Mahapothana,Available
4561,Physical Chemistry- ATKINS,541.321,"Atkins, P.W.",,"(xvi),998p;28cm",019850101 3,"Chemistry, Physical and theoretical.",,Oxford University Press,1998,Tokyo,Available
4562,Environmental Chemistry,540.21,"Manahan, Stanley E.",,"(vi),490p;26cm",0-87150-737-4,Environmental chemistry.,Water treatment,"Willard Grant Press, Boston",1979,Massachusetts,Available
4563,Introduction to Polymer Crystallization,548,"Sharples, Allan",,"(iii),137p;22cm",,Polymers and polymerization.,Crystallization.,Edward Arnold Ltd.,1966,London,Available
4564,Understanding Chemistry,540,"Herron, Dudley J.",,"(xxii),485p;24cm",0-394-34043-4,Chemistry ,,"Random House, Inc.",1986,New York,Available
4565,Group Theorotical Methods in Physics,530.1,,"Arima, A.; Eguchi, T.; Nakanishi, N.","(xxviii),514p;23.5cm",981-02-2087-1,Theories and mathematical physics,"Quontam Mechanics with one, two and many Atoms; Experiments with single Atoms in Cavities and the Investigation of Basic Quontum Phenomena; Origin and properties of pseudosupersymmetry; Secondary reductions of classical W Algebras; Written complex and Top",World scientific publishing Co.Pte.Ltd.,1994,Singapore,Available
4566,An Introduction to Polymer Chemistry,547.722,"Margerison, D.; East, G.C.",,"(vii),294p;19.5cm",,Plymers,Condensation Polymerization; Ionic Plymerization,Robert Maxwell,1967,"Oxford, London",Available
4567,Problems in structural inorganic chemistry,546,"Hatfield, William E.; Palmer, Richard A.",,"(vii),328p;23cm",8053-3791-1,Inorganic Chemistry,Elementary structure and Stereochemistry; Chemical bonding; Basic Crystallogrphy; Atomic structure,W.A. Benjamin,1971,New York,Available
4568,Solution Properties of Natural Polymers,541.2254,,,"(viii),333p;22.5cm",,Polymers,Proteins and Nucleic Acids; Rubber and Lignins; Polysaccharides; Specific interactions in solution; Molecular weight techniques,"The Chemical Society, Burlington House",1968,London,Available
4569,Introduction to Polymer Science and Technology: An SPE Text book,REF 547.84,,"Kaufman, Herman S.; Falcetta, Joseph J.","(x),613p;23.5cm",471014931,POLYMERS AND POLYMERIZATION,PLASTICS,A Wiley-Interscience Publications,1977,New York,Available
4570,Chemistry and society,540,"Schubert, Leo; Veguilla-Berdecia, Luis A.",,"(ix),341p;24cm",,Chemistry and allied sciences,The structure of the Atom; The rise of a new Physics; Inter molecular interactions; Chemical balance,"Allyn and Bacon, Inc.",1972,Boston,Available
4571,Selection of basic laboratary equipment for laborataries with limited resources ,502.8,"Johns, Warren L.; El-Nageh, Mohamed",,259p;24cm,92-9021-245-4,,Laboratory equipments,World Health Organization,2000,Eastern Mediterranean,Available
4572,STRUCTURE AND FUNCTION OF BIOFILMS,576.15,,"CHARACKLIS, W.G.; WILDERER, P.A.",,,GENETICS and EVOLUTION,"BIOFILMS,FLUID-BIOFILMS, BIOTIC AND ABIOTIC COMPENENTS,PHYSIOLOGY", JOHN WILEY and SONS ,1989,NEW YORK,Available
4573,Fundamentals  of Engineering Numerical Analysis,620.0015194,"Moin, Parviz",,"xiv,207p;26cm",,Engineering,Engineering mathematics; Numerical Analysis,Cambridge University Press,2001,U.K.,Available
4574,Recurrent Neural Networks - Design and Application,6.32,,"Medsker, L.R.; JAIN, L.C.",,,COMPUTER SCIENCE,INTERNET,CRC PRESS,2000,NEW YORK,Available
4575,"PLANT REPRODUCTION : ANNUAL PLANT REVIEWS, VOLUME 6",581.16,,"O'NEILL, S.D.; ROBERTS, J.A",,,BOTANY,PROPAGRATION,CRC PRESS,2002,UK,Available
4576,"dsRNA GENETIC ELEMENTS:CONCEPTS AND APPLICATIONS IN AGRICULTURE, FORESTY, AND MEDICINE",572.8,,"TAVANTZIS, S.M",,,BIOCHEMISTRY,"DOUBLE -STRANDED RNA, ; TAVANTZIS,STYLIANOS MICHAEL",CRC PRESS,2002,NEW YORK,Available
4577,"Biofilms: The Good,The Bad and The Ugly",576,,"Wimpenny, Julian; Gilbert, P; Walker, J; Brading, M; Bayston, R",372p;23.5,,Biology,Microbiology,BioLine,1999,U.K,Available
4578,Biofilm Community Interactions: Chance or necessity?,576,,"Gilbert, P; Allison, D; Brading, M; Verran, J; Walker, J",374p;23.5 cm,,Biology,Microbiology,BioLine,1999,U.K,Available
4579,Clusters and Nanomaterials,546.3,,"Kawazoe, Y; Kondow, T; Ohno, ",345p;26cm,,Metal crystals,Nanostructure materials,Springer,2002,Berlin,Available
